eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,total_timesteps
1000.0,151.06142050999998,1151,0.026772406,0.3284668,2.544373,-0.04797516,39.97152,0.16902148723602295,96,196608,170.8962483159994,196608
1000.0,165.19397917999999,1163,0.026531328,0.33427733,2.5000122,-0.052327592,33.957016,0.4400148391723633,97,198656,172.65651304700077,198656
1000.0,177.98482864999997,1164,0.027522976,0.33852538,2.4779277,-0.05425354,42.19588,0.46746838092803955,98,200704,174.41611903100056,200704
1000.0,191.23176291,1131,0.021562444,0.28559572,2.4626336,-0.04854248,38.040825,0.6304096877574921,99,202752,176.227185103,202752
1000.0,204.52954129999998,1161,0.025088951,0.32021484,2.4174333,-0.0522525,39.808357,0.5837808847427368,100,204800,177.99055473100088,204800
1000.0,218.24325051999998,1158,0.02743445,0.340625,2.3656507,-0.051577352,36.811066,0.5359683632850647,101,206848,179.7591819219997,206848
1000.0,229.60912348999997,1163,0.02396897,0.30961913,2.3226535,-0.04857184,36.282948,0.6495572030544281,102,208896,181.51909950700065,208896
1000.0,243.38627012,1166,0.026528576,0.32797852,2.2739782,-0.051926404,38.489662,0.5175609290599823,103,210944,183.27574244300013,210944
1000.0,257.48153918,1161,0.02868385,0.35527343,2.253444,-0.04891116,43.913635,0.4144287109375,104,212992,185.03900119399987,212992
1000.0,278.46101529,1161,0.025897885,0.31875,2.2178426,-0.04773239,44.963898,0.46160686016082764,105,215040,186.80288235199987,215040
1000.0,293.25875425,1155,0.029371109,0.34536132,2.1661677,-0.05093824,45.96113,0.27547478675842285,106,217088,188.57531733900032,217088
1000.0,306.66505551,1160,0.028173914,0.34052736,2.1371737,-0.051216353,44.976128,0.22797906398773193,107,219136,190.34005969400096,219136
1000.0,320.51782088999994,1148,0.02900374,0.33706054,2.0945122,-0.046512887,41.492092,0.28120845556259155,108,221184,192.1244164180007,221184
1000.0,335.08964957999996,1152,0.026955381,0.3321289,2.0707836,-0.055280466,51.08497,0.35673069953918457,109,223232,193.902111677,223232
1000.0,348.87437073999996,1150,0.027036736,0.33535156,2.0217323,-0.052165538,41.856236,0.40826940536499023,110,225280,195.6828365349993,225280
1000.0,361.7376807199999,1149,0.02346034,0.30117187,1.9784946,-0.044979226,46.70183,0.45302361249923706,111,227328,197.46576738600015,227328
1000.0,374.11947776999995,1156,0.029857418,0.35288087,1.9323509,-0.055600602,44.34693,0.4324047565460205,112,229376,199.2373326600009,229376
1000.0,385.72966483999994,1155,0.025682604,0.3196289,1.8950214,-0.05017082,40.663208,0.5237759649753571,113,231424,201.0099144779997,231424
1000.0,397.1938879,1154,0.02342131,0.29848632,1.8644297,-0.045998566,43.635277,0.5662241876125336,114,233472,202.7847221760003,233472
1000.0,406.83926469000005,1159,0.029723505,0.35419923,1.84657,-0.04991492,48.967766,0.1960044503211975,115,235520,204.5516733479999,235520
1000.0,418.95577765999997,1164,0.025636345,0.32011718,1.8194529,-0.046836913,48.030804,0.46838754415512085,116,237568,206.31148652400043,237568
1000.0,428.78264041,1141,0.030490452,0.3642578,1.7903821,-0.053877465,44.88546,0.38632404804229736,117,239616,208.10594179200052,239616
1000.0,438.51982795,1128,0.028094664,0.34179688,1.7613455,-0.05214291,42.1543,0.3662569522857666,118,241664,209.9210088790005,241664
1000.0,447.19158233999997,1162,0.031075587,0.36801758,1.716417,-0.051547788,38.024345,0.005346357822418213,119,243712,211.68246562199965,243712
1000.0,457.50140702,1162,0.03367522,0.3726074,1.650028,-0.04649288,50.12588,0.22754168510437012,120,245760,213.44496650200017,245760
1000.0,466.30052559999996,1152,0.024375467,0.31030273,1.6079239,-0.04975517,40.01153,0.6618475019931793,121,247808,215.22264067499964,247808
1000.0,474.52757464999996,1158,0.027040284,0.33251953,1.5542892,-0.049060322,42.780663,0.4293481707572937,122,249856,216.99148504500045,249856
1000.0,482.8804311400001,1149,0.025971109,0.32026368,1.5088981,-0.0471992,46.67101,0.6115790903568268,123,251904,218.77428508100093,251904
1000.0,491.6725621300001,1154,0.031124929,0.3487793,1.4860646,-0.051600523,41.595123,0.49217551946640015,124,253952,220.549312096,253952
1000.0,505.44413611000004,1152,0.03456118,0.3890625,1.4354674,-0.05228998,43.267124,0.31768643856048584,125,256000,222.32709738999984,256000
1000.0,513.7346281,1144,0.034859717,0.38154298,1.3901465,-0.049789295,46.772495,0.3805418610572815,126,258048,224.11662148200048,258048
1000.0,524.0561219300001,1138,0.032039322,0.36044922,1.3472176,-0.046252254,46.361782,0.4955945611000061,127,260096,225.91574448400024,260096
1000.0,531.94054637,1144,0.037117366,0.3876465,1.2869613,-0.050287772,48.320606,0.11264413595199585,128,262144,227.70589514099993,262144
1000.0,540.79090205,1143,0.036984935,0.3987793,1.2030389,-0.04973266,45.645477,0.16712099313735962,129,264192,229.4980483519994,264192
1000.0,548.6286503099999,1158,0.030135265,0.3449707,1.1828505,-0.046697523,51.670025,0.351296603679657,130,266240,231.2668305520001,266240
1000.0,555.62274412,1161,0.033959296,0.37924805,1.146455,-0.050147004,54.40168,0.27668052911758423,131,268288,233.0302118719992,268288
1000.0,563.143497,1157,0.028128225,0.33413085,1.1216353,-0.048657186,47.602673,0.7181917726993561,132,270336,234.79922000899933,270336
1000.0,564.87400068,1163,0.032988895,0.37543947,1.1014719,-0.055212907,44.075874,0.874443531036377,133,272384,236.55945363200044,272384
1000.0,572.72748705,1153,0.039000757,0.40483397,1.0349501,-0.049422722,54.878094,0.01751500368118286,134,274432,238.3349233629997,274432
1000.0,579.81885536,1134,0.0370006,0.38154298,0.9797293,-0.045503717,46.418297,0.35283613204956055,135,276480,240.14043913800015,276480
1000.0,585.89314003,1131,0.030773168,0.35307616,0.9517166,-0.048809703,50.54357,0.5375183522701263,136,278528,241.95059319100073,278528
1000.0,591.5317859099999,1134,0.034750674,0.38388672,0.90156615,-0.049739186,42.47448,0.4313504099845886,137,280576,243.75623862700013,280576
1000.0,597.73912453,1127,0.034162525,0.38051757,0.85417175,-0.05077539,49.832287,0.5076248645782471,138,282624,245.57273299699955,282624
1000.0,602.9821224899999,1156,0.039696675,0.41240233,0.818782,-0.047238626,47.975346,0.06324130296707153,139,284672,247.3447324509998,284672
1000.0,610.6513027799999,1139,0.038137864,0.3935547,0.791264,-0.04568835,47.142067,0.03170216083526611,140,286720,249.14272005699968,286720
1000.0,617.74492428,1158,0.033552747,0.3708496,0.7692164,-0.049779154,54.552753,0.41487228870391846,141,288768,250.91166811900075,288768
1000.0,623.64857608,1144,0.030067999,0.35473633,0.7283579,-0.042748395,50.38524,0.5311965048313141,142,290816,252.70149989700076,290816
1000.0,626.91105167,1160,0.028882425,0.34887695,0.6906253,-0.047120117,54.59571,0.626555860042572,143,292864,254.46725452200008,292864
1000.0,632.43016937,1143,0.03971941,0.40717775,0.65534574,-0.050209753,39.952034,0.4326726198196411,144,294912,256.2580821749998,294912
1000.0,635.7518538600001,1153,0.04487382,0.43642578,0.6039103,-0.046882063,48.760963,0.14071977138519287,145,296960,258.03465329999926,296960
1000.0,644.18338795,1158,0.03435704,0.3819336,0.55863434,-0.04390644,50.54026,0.3722337484359741,146,299008,259.80358220500057,299008
1000.0,648.8524484,1145,0.04212153,0.42539063,0.5226985,-0.049353033,48.838703,0.29640328884124756,147,301056,261.5916184779999,301056
1000.0,655.93783175,1157,0.039678074,0.3996094,0.49681026,-0.04335738,51.037262,0.19746243953704834,148,303104,263.36220449199936,303104
1000.0,660.3930428499999,1155,0.039220158,0.39584962,0.47532192,-0.046667088,47.41358,0.17667675018310547,149,305152,265.1357795870008,305152
1000.0,665.1253710700001,1150,0.027611455,0.34282225,0.44800878,-0.044992723,49.030655,0.5596994161605835,150,307200,266.9156141599997,307200
1000.0,671.73262688,1146,0.044783343,0.42412108,0.40318662,-0.04383883,52.826912,0.08534950017929077,151,309248,268.7027493580008,309248
1000.0,676.7905029499999,1142,0.042305864,0.41176757,0.35203347,-0.044865306,48.037735,0.08748942613601685,152,311296,270.49613355099973,311296
1000.0,680.7387480199999,1150,0.042371325,0.42290038,0.29896972,-0.05101193,49.709496,0.28210532665252686,153,313344,272.277070655,313344
1000.0,684.55803854,1143,0.037487753,0.40014648,0.2654317,-0.044415336,47.90042,0.2137542963027954,154,315392,274.0680507289999,315392
1000.0,688.40860675,1151,0.039405145,0.4050293,0.22667427,-0.04566474,50.995586,0.044819653034210205,155,317440,275.84746309100046,317440
1000.0,693.7153259400001,1136,0.045390233,0.43232423,0.18443938,-0.04783045,61.439373,0.07047814130783081,156,319488,277.6504197110007,319488
1000.0,697.57273302,1155,0.035565775,0.3890625,0.14016442,-0.046346318,50.23317,0.30853837728500366,157,321536,279.4226792080008,321536
1000.0,699.99465316,1160,0.044787697,0.43403322,0.1039869,-0.04835985,51.679737,0.017983973026275635,158,323584,281.1875373919993,323584
1000.0,704.3441822299999,1159,0.036279682,0.3847168,0.071914725,-0.044926282,48.280674,0.4717218279838562,159,325632,282.95382990799953,325632
1000.0,707.44741494,1162,0.040842697,0.41206056,0.0370884,-0.04785779,48.970802,0.10820221900939941,160,327680,284.7159679960005,327680
1000.0,711.7538370299999,1147,0.04346546,0.42211914,0.017088348,-0.042863358,55.73052,0.0829663872718811,161,329728,286.5013425750003,329728
1000.0,716.9423337999999,1136,0.041613303,0.41132814,0.0026295227,-0.044865392,53.0019,0.08160203695297241,162,331776,288.30432886699964,331776
1000.0,719.7141737100001,1132,0.040275626,0.41513672,-0.030018914,-0.045992024,48.47763,0.27097123861312866,163,333824,290.11332972200034,333824
1000.0,725.1561891699998,1147,0.042465277,0.42988282,-0.07363689,-0.04978478,49.462154,0.22733217477798462,164,335872,291.8983361240007,335872
1000.0,727.7037170899998,1135,0.043760788,0.4215332,-0.115664735,-0.041892253,53.99436,0.3024953603744507,165,337920,293.7020854830007,337920
1000.0,732.1361850499999,1147,0.04732897,0.442041,-0.15790364,-0.046129644,54.828026,0.1543329358100891,166,339968,295.4867019529993,339968
1000.0,737.99665974,1161,0.035398837,0.39350587,-0.18311337,-0.044921804,54.07599,0.4052349925041199,167,342016,297.2496645480005,342016
1000.0,741.71337858,1150,0.039987728,0.41015625,-0.19795409,-0.04821427,50.081802,0.5184725522994995,168,344064,299.0304172769993,344064
1000.0,744.73663227,1148,0.04897202,0.45571288,-0.22699733,-0.047761608,52.41504,0.1934283971786499,169,346112,300.81373582000015,346112
1000.0,750.3813109299999,1159,0.052421678,0.47299805,-0.25988993,-0.04862341,51.383034,0.085926353931427,170,348160,302.5806436139992,348160
1000.0,754.1791906699999,1133,0.046403885,0.43100587,-0.29150707,-0.046507925,47.976837,0.29114246368408203,171,350208,304.38747112800047,350208
1000.0,758.2901239099999,1139,0.04759732,0.43413085,-0.3138374,-0.04407917,47.84812,0.2398802638053894,172,352256,306.18564001400046,352256
1000.0,762.9743990000002,1138,0.04309564,0.4213379,-0.3564791,-0.04320023,56.09535,0.14730167388916016,173,354304,307.9854827899999,354304
1000.0,766.32120603,1143,0.047219016,0.4411133,-0.41273436,-0.03998916,45.20445,0.02189004421234131,174,356352,309.7769489349994,356352
1000.0,769.8857660799999,1162,0.048616454,0.45336914,-0.4779188,-0.044146206,53.471046,0.06323575973510742,175,358400,311.53907267199975,358400
1000.0,772.9614519499999,1162,0.048900314,0.44848633,-0.5322324,-0.0394888,46.837254,0.13539940118789673,176,360448,313.3018144540001,360448
1000.0,777.56895921,1158,0.052673317,0.46796876,-0.5830904,-0.04278225,54.535492,0.14457273483276367,177,362496,315.0696682689995,362496
1000.0,780.0687746500001,1159,0.04489847,0.43549806,-0.61327696,-0.046408623,47.663837,0.22891396284103394,178,364544,316.8364594480008,364544
1000.0,782.74208075,1151,0.047912303,0.43984374,-0.6569893,-0.0405864,49.57154,0.10541021823883057,179,366592,318.61527691599986,366592
1000.0,785.5049405099999,1161,0.05043897,0.4522461,-0.68996966,-0.046406955,50.97883,0.09037697315216064,180,368640,320.37882479700056,368640
1000.0,789.4069872800001,1152,0.056502998,0.47192383,-0.71934354,-0.043642264,57.601036,0.057364583015441895,181,370688,322.15704156100037,370688
1000.0,797.35492049,1162,0.051925253,0.45092773,-0.7263846,-0.045030754,49.530052,0.19263529777526855,182,372736,323.91981097200005,372736
1000.0,800.0805050099999,1159,0.050242476,0.45859376,-0.74939054,-0.04567943,55.802418,0.30306756496429443,183,374784,325.68630230300005,374784
1000.0,802.13498149,1148,0.045295287,0.43515626,-0.77858293,-0.04562001,48.60735,0.36719709634780884,184,376832,327.47007347900035,376832
1000.0,804.75253754,1146,0.05757135,0.47836915,-0.7961555,-0.045171164,54.48106,0.027538061141967773,185,378880,329.25737905000096,378880
