eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
114.71,-182.52478933999998,349,9.0469555e-05,0.0,2.555001,-0.000401864,240.65761,7.086992263793945e-05,880,1802240,3992.1100894819997,1802240
106.27,-181.70545589999995,390,0.009895772,0.14489746,2.5465016,-0.0028038663,265.72275,-1.1920928955078125e-07,890,1822720,4047.462231287,1822720
87.86,-189.42604379999997,402,0.0043550516,0.05883789,2.5312562,-0.0017871733,176.15488,2.384185791015625e-07,900,1843200,4099.436947243999,1843200
86.75,-176.59770119999996,397,0.00023229195,0.0,2.5340734,-0.0004157161,228.4692,-2.5033950805664062e-06,910,1863680,4150.528844640001,1863680
86.37,-167.28167492,404,0.0005950945,0.00012207031,2.5418265,0.0005284641,217.4261,1.1920928955078125e-07,920,1884160,4201.4040367630005,1884160
92.99,-183.78682390000006,397,3.2421754e-05,0.0,2.532094,3.8690487e-06,249.45596,-1.1920928955078125e-07,930,1904640,4255.199854245,1904640
93.89,-184.87836893999997,393,0.00035687067,0.0,2.5211,-0.000845438,203.49843,-1.1920928955078125e-06,940,1925120,4307.199914316001,1925120
103.37,-232.55328873,389,0.0008007051,0.00048828125,2.4970586,0.00022405024,264.30978,-1.2874603271484375e-05,950,1945600,4360.589704028,1945600
90.92,-182.02816128999999,399,0.0047960756,0.0592041,2.4770858,-0.0021786501,245.10573,-3.5762786865234375e-07,960,1966080,4412.4253121229995,1966080
102.95,-181.58627505,250,0.00038406198,0.0,2.4634075,-0.00044745626,288.07248,0.00010651350021362305,970,1986560,4467.441350683001,1986560
